,gps_height,longitude,latitude,region,lga,population,permit,extraction_type_class,management_group,payment,quality_group,quantity,source_class,waterpoint_type_group,target
1,1399,34.6987661,-2.14746569,Mara,Serengeti,280,True,gravity,user-group,never pay,good,insufficient,surface,communal standpipe,functional
4,0,31.13084671,-1.82535885,Kagera,Karagwe,0,True,gravity,other,never pay,good,seasonal,surface,communal standpipe,functional
9,0,30.62699053,-1.25705061,Kagera,Karagwe,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
21,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,unknown,unknown,unknown,groundwater,hand pump,functional
27,0,31.10425712,-1.73536124,Kagera,Karagwe,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
53,0,0.0,-2e-08,Mwanza,Geita,0,True,submersible,user-group,unknown,unknown,dry,groundwater,communal standpipe,non functional
54,0,30.98302258,-1.68065404,Kagera,Karagwe,0,True,gravity,commercial,never pay,good,dry,surface,communal standpipe,functional
59,0,31.45428168,-1.56388609,Kagera,Bukoba Rural,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,non functional
73,1565,34.657034499999995,-1.88801974,Mara,Serengeti,200,True,handpump,user-group,other,good,insufficient,groundwater,hand pump,non functional
75,0,31.79687285,-1.35148627,Kagera,Bukoba Urban,0,False,submersible,user-group,never pay,good,insufficient,groundwater,communal standpipe,non functional
84,1185,34.19057512,-1.60969058,Mara,Musoma Rural,544,False,gravity,parastatal,unknown,good,enough,surface,hand pump,non functional
85,0,32.18551701,-2.37877187,Mwanza,Sengerema,0,True,handpump,user-group,never pay,good,seasonal,groundwater,hand pump,non functional
87,0,31.55890304,-2.02646851,Kagera,Muleba,0,False,gravity,user-group,never pay,good,insufficient,groundwater,communal standpipe,non functional
94,0,31.45311103,-1.19438963,Kagera,Misenyi,0,True,handpump,user-group,never pay,milky,insufficient,groundwater,hand pump,non functional
97,0,33.0795039,-3.00965923,Mwanza,Missungwi,0,True,submersible,commercial,pay per bucket,unknown,enough,groundwater,communal standpipe,functional
107,0,31.767300899999995,-3.0251057,Kagera,Chato,0,True,handpump,user-group,other,good,enough,groundwater,hand pump,non functional
115,0,31.66327256,-1.08048548,Kagera,Misenyi,0,True,gravity,user-group,pay when scheme fails,good,insufficient,groundwater,communal standpipe,non functional
117,1191,33.35647131,-2.06349369,Mara,Bunda,804,False,gravity,parastatal,unknown,good,dry,surface,communal standpipe,non functional
139,0,31.64732214,-2.78450823,Kagera,Biharamulo,0,True,gravity,user-group,never pay,good,enough,surface,communal standpipe,functional
153,1481,34.56387749,-1.72068493,Mara,Serengeti,400,True,handpump,user-group,unknown,good,enough,groundwater,hand pump,non functional
158,0,34.08915375,-3.12214007,Shinyanga,Maswa,0,False,handpump,user-group,other,good,enough,groundwater,hand pump,functional
164,0,33.16358148,-2.54645921,Mwanza,Magu,0,True,handpump,user-group,never pay,salty,enough,groundwater,hand pump,functional
168,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,gravity,parastatal,other,good,seasonal,surface,communal standpipe,functional
187,0,31.51225219,-1.13959123,Kagera,Misenyi,0,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,functional
198,1135,33.50998861,-2.15235319,Mara,Bunda,100,True,gravity,parastatal,pay per bucket,good,enough,surface,communal standpipe,non functional
200,0,30.75176889,-2.54922891,Kagera,Ngara,0,False,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,functional
217,0,33.10016187,-3.81255032,Shinyanga,Shinyanga Rural,0,True,handpump,user-group,never pay,good,seasonal,groundwater,hand pump,functional
225,1201,33.35805782,-2.07269915,Mara,Bunda,1,False,gravity,parastatal,unknown,good,seasonal,surface,communal standpipe,functional
229,0,32.91684591,-2.84922488,Mwanza,Missungwi,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
231,1281,33.00023911,-2.07363796,Mwanza,Ukerewe,350,True,other,user-group,never pay,good,insufficient,surface,communal standpipe,non functional
245,0,31.80083428,-1.31490138,Kagera,Bukoba Urban,0,False,gravity,user-group,never pay,good,insufficient,surface,communal standpipe,non functional
253,0,0.0,-2e-08,Mwanza,Magu,0,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,non functional
256,0,0.0,-2e-08,Mwanza,Geita,0,True,handpump,user-group,never pay,unknown,dry,groundwater,hand pump,non functional
285,0,0.0,-2e-08,Mwanza,Magu,0,True,handpump,user-group,pay when scheme fails,salty,insufficient,groundwater,hand pump,functional
301,0,0.0,-2e-08,Mwanza,Geita,0,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,functional
302,0,33.02122705,-3.74548548,Shinyanga,Shinyanga Rural,0,True,handpump,user-group,never pay,good,dry,groundwater,hand pump,functional
306,0,0.0,-2e-08,Mwanza,Geita,0,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,functional
321,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,unknown,good,enough,groundwater,hand pump,non functional
326,0,0.0,-2e-08,Mwanza,Geita,0,True,submersible,user-group,never pay,good,insufficient,groundwater,communal standpipe,functional
333,0,33.50643109,-3.28863325,Shinyanga,Kishapu,0,False,handpump,user-group,unknown,good,enough,groundwater,hand pump,functional
346,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
357,0,31.45298632,-2.13334776,Kagera,Muleba,0,True,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,non functional
367,1145,33.46719471,-2.15195843,Mara,Bunda,350,False,other,parastatal,unknown,good,insufficient,surface,communal standpipe,functional
370,0,0.0,-2e-08,Mwanza,Geita,0,True,submersible,user-group,never pay,good,insufficient,groundwater,communal standpipe,functional
383,1362,34.21765613,-2.97432722,Shinyanga,Bariadi,450,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
390,0,33.31855816,-2.6736728,Mwanza,Kwimba,0,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,functional
404,0,33.09165496,-2.99658524,Mwanza,Missungwi,0,True,handpump,user-group,never pay,good,dry,groundwater,hand pump,non functional
405,0,32.65185323,-3.84954464,Shinyanga,Kahama,0,True,handpump,commercial,unknown,good,insufficient,groundwater,hand pump,functional
406,0,33.64477524,-2.8630691,Shinyanga,Maswa,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
<<<<<<< HEAD
413,0,30.95668868,-2.7845813,Kagera,Biharamulo,0,True,gravity,user-group,never pay,good,seasonal,surface,communal standpipe,functional
=======
413,0,30.95668868,-2.7845812999999997,Kagera,Biharamulo,0,True,gravity,user-group,never pay,good,seasonal,surface,communal standpipe,functional
>>>>>>> 545838695a17209333057dc8c8805e1e5d12ee6f
416,0,32.50846356,-2.54770471,Mwanza,Sengerema,0,True,motorpump,user-group,pay monthly,good,enough,surface,communal standpipe,functional
427,0,31.82735182,-1.21231446,Kagera,Bukoba Rural,0,True,gravity,user-group,never pay,good,insufficient,surface,communal standpipe,non functional
433,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,pay when scheme fails,good,enough,groundwater,hand pump,functional
439,0,31.61498498,-1.2126409,Kagera,Misenyi,0,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,functional
447,0,33.52797453,-2.82067589,Mwanza,Kwimba,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
462,0,31.52611967,-1.63276881,Kagera,Bukoba Rural,0,True,gravity,user-group,never pay,good,insufficient,surface,communal standpipe,functional
<<<<<<< HEAD
474,0,30.7575028,-2.54204907,Kagera,Ngara,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
=======
474,0,30.757502799999997,-2.54204907,Kagera,Ngara,0,False,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
>>>>>>> 545838695a17209333057dc8c8805e1e5d12ee6f
481,0,32.88151654,-3.27751494,Shinyanga,Shinyanga Rural,0,True,handpump,user-group,never pay,salty,insufficient,groundwater,hand pump,functional
502,0,33.447801500000004,-3.24751324,Shinyanga,Maswa,0,False,gravity,user-group,never pay,good,enough,groundwater,communal standpipe,non functional
506,1243,33.98362709,-1.48524922,Mara,Rorya,500,False,submersible,user-group,never pay,good,enough,surface,communal standpipe,non functional
512,0,31.80724315,-1.28454595,Kagera,Bukoba Urban,0,False,gravity,user-group,never pay,good,insufficient,surface,communal standpipe,functional
518,0,33.12878044,-3.7849058,Shinyanga,Shinyanga Rural,0,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,functional
521,0,33.60788087,-2.67942163,Mwanza,Magu,0,True,handpump,user-group,pay when scheme fails,good,enough,groundwater,hand pump,functional
558,0,31.75690383,-2.81886868,Kagera,Chato,0,True,handpump,user-group,pay monthly,good,enough,groundwater,hand pump,functional
584,0,33.13340374,-3.23459106,Mwanza,Kwimba,0,True,handpump,user-group,never pay,unknown,dry,groundwater,hand pump,non functional
592,1818,34.66643661,-1.38298879,Mara,Tarime,50,True,handpump,commercial,unknown,good,enough,groundwater,hand pump,non functional
603,0,33.32829159,-3.15937362,Mwanza,Kwimba,0,True,handpump,user-group,never pay,good,dry,groundwater,hand pump,non functional
614,0,32.48102458,-2.34388649,Mwanza,Sengerema,0,False,handpump,user-group,never pay,good,dry,groundwater,hand pump,functional
616,1267,33.98649901,-1.49075217,Mara,Rorya,250,False,submersible,user-group,never pay,good,enough,surface,communal standpipe,non functional
619,0,32.20144687,-2.45428074,Mwanza,Sengerema,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
623,0,34.08777811,-3.09536601,Shinyanga,Maswa,0,False,handpump,user-group,other,good,insufficient,groundwater,hand pump,functional
627,0,31.83004879,-1.28284016,Kagera,Bukoba Urban,0,False,gravity,user-group,never pay,good,enough,surface,communal standpipe,functional
659,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,unknown,good,enough,groundwater,hand pump,non functional
667,0,33.52741962,-2.83350351,Mwanza,Kwimba,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
680,0,31.75404436,-1.33369854,Kagera,Bukoba Rural,0,True,gravity,user-group,never pay,good,insufficient,surface,communal standpipe,non functional
686,0,30.7932219,-1.36886109,Kagera,Karagwe,0,True,gravity,user-group,never pay,good,insufficient,surface,communal standpipe,functional
695,1249,34.29157805,-1.67766041,Mara,Serengeti,48,True,handpump,user-group,never pay,good,insufficient,groundwater,hand pump,functional
697,0,0.0,-2e-08,Shinyanga,Bariadi,0,False,handpump,user-group,unknown,salty,unknown,groundwater,hand pump,functional
705,0,34.25644023,-2.9958472,Shinyanga,Meatu,0,True,handpump,user-group,never pay,good,enough,groundwater,hand pump,functional
707,0,31.50434571,-1.38578104,Kagera,Bukoba Rural,0,True,handpump,user-group,never pay,colored,enough,groundwater,hand pump,functional
713,1487,33.96307757,-1.76501198,Mara,Musoma Rural,350,True,handpump,user-group,pay per bucket,salty,enough,groundwater,hand pump,functional
