,gps_height,longitude,latitude,basin,region,extraction_type_class,management_group,payment,quality_group,source_class,waterpoint_type_group,target
1,1399,34.6987661,-2.14746569,Lake Victoria,Mara,other,user-group,never pay,good,surface,communal standpipe,1
4,0,31.13084671,-1.82535885,Lake Victoria,Kagera,other,other,never pay,good,surface,communal standpipe,1
9,0,30.62699053,-1.25705061,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
21,0,0.0,-2e-08,Lake Victoria,Shinyanga,manual,user-group,unknown,unknown,groundwater,hand pump,1
27,0,31.10425712,-1.73536124,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,1
53,0,0.0,-2e-08,Lake Victoria,Mwanza,mechanical,user-group,unknown,unknown,groundwater,communal standpipe,0
54,0,30.98302258,-1.68065404,Lake Victoria,Kagera,other,commercial,never pay,good,surface,communal standpipe,1
59,0,31.45428168,-1.56388609,Lake Victoria,Kagera,manual,user-group,never pay,good,groundwater,hand pump,0
73,1565,34.657034499999995,-1.88801974,Lake Victoria,Mara,manual,user-group,other,good,groundwater,hand pump,0
75,0,31.79687285,-1.35148627,Lake Victoria,Kagera,mechanical,user-group,never pay,good,groundwater,communal standpipe,0
84,1185,34.19057512,-1.60969058,Lake Victoria,Mara,other,parastatal,unknown,good,surface,hand pump,0
85,0,32.18551701,-2.37877187,Lake Victoria,Mwanza,manual,user-group,never pay,good,groundwater,hand pump,0
87,0,31.55890304,-2.02646851,Lake Victoria,Kagera,other,user-group,never pay,good,groundwater,communal standpipe,0
94,0,31.45311103,-1.19438963,Lake Victoria,Kagera,manual,user-group,never pay,other,groundwater,hand pump,0
97,0,33.0795039,-3.00965923,Lake Victoria,Mwanza,mechanical,commercial,other,unknown,groundwater,communal standpipe,1
107,0,31.767300899999995,-3.0251057,Lake Victoria,Kagera,manual,user-group,other,good,groundwater,hand pump,0
115,0,31.66327256,-1.08048548,Lake Victoria,Kagera,other,user-group,other,good,groundwater,communal standpipe,0
117,1191,33.35647131,-2.06349369,Lake Victoria,Mara,other,parastatal,unknown,good,surface,communal standpipe,0
118,1339,34.44864527,-2.02266257,Lake Victoria,Mara,other,other,never pay,good,surface,communal standpipe,1
139,0,31.64732214,-2.78450823,Lake Victoria,Kagera,other,user-group,never pay,good,surface,communal standpipe,1
